2016-07-17 16:21:44,441 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-17 16:21:44,443 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Rakhi\MavenDemo\MavenDemo\src\test\resources
2016-07-17 16:22:59,614 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-17 16:22:59,615 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Rakhi\MavenDemo\MavenDemo\src\main\resources
2016-07-17 16:22:59,620 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-17 16:22:59,621 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Rakhi\MavenDemo\MavenDemo\src\test\resources
2016-07-17 16:23:09,688 [Worker-42] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\Rakhi\MavenDemo\MavenDemo
2016-07-17 16:23:09,689 [Worker-42] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B install
2016-07-17 16:25:01,724 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-17 16:25:01,726 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Rakhi\MavenDemo\MavenDemo\src\main\resources
2016-07-17 16:25:01,728 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-17 16:25:01,730 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Rakhi\MavenDemo\MavenDemo\src\test\resources
2016-07-17 17:38:48,414 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-17 17:38:48,472 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Rakhi\MavenDemo\MavenDemo\src\main\resources
2016-07-17 17:38:48,474 [Worker-60] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-17 17:38:48,477 [Worker-60] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Rakhi\MavenDemo\MavenDemo\src\test\resources
2016-07-17 17:39:00,284 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-17 17:39:00,286 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Rakhi\MavenDemo\MavenDemo\src\main\resources
2016-07-17 17:39:00,329 [Worker-61] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-07-17 17:39:00,333 [Worker-61] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Rakhi\MavenDemo\MavenDemo\src\test\resources
2016-07-17 17:39:35,091 [Worker-54] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\Rakhi\MavenDemo\MavenDemo
